ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
1.0,Brisbane,Brisbane International,2026-01-09,ATP250,Outdoor,Hard,Quarterfinals,3,Medvedev D.,Majchrzak K.,3.0,66.0,1963.0,68.0,6.0,7.0,6.0,3.0,6.0,2.0,,,,,2.0,1.0,Completed,1.14,5.5,1.17,5.95,1.18,6.5,1.15,5.38,1.17,6.8
2.0,Hong Kong,Hong Kong Tennis Open,2026-01-09,ATP250,Outdoor,Hard,Quarterfinals,3,Musetti L.,Wong C.,21.0,84.0,513.0,26.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.25,4.0,1.29,4.05,1.29,4.0,1.26,3.71,1.29,4.3
2.0,Hong Kong,Hong Kong Tennis Open,2026-01-09,ATP250,Outdoor,Hard,Quarterfinals,3,Bublik A.,Shang J.,18.0,87.0,658.0,23.0,6.0,1.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.53,2.5,,,1.58,2.5,1.54,2.42,1.61,2.6
2.0,Hong Kong,Hong Kong Tennis Open,2026-01-10,ATP250,Outdoor,Hard,Semifinals,3,Musetti L.,Rublev A.,21.0,27.0,513.0,375.0,6.0,7.0,7.0,5.0,6.0,4.0,,,,,2.0,1.0,Completed,1.8,2.0,,,1.91,2.0,1.83,1.95,2.0,1.98
2.0,Hong Kong,Hong Kong Tennis Open,2026-01-10,ATP250,Outdoor,Hard,Semifinals,3,Bublik A.,Giron M.,18.0,49.0,658.0,150.0,3.0,6.0,6.0,4.0,6.0,2.0,,,,,2.0,1.0,Completed,1.29,3.75,,,1.3,3.75,1.28,3.6,1.31,4.1
1.0,Brisbane,Brisbane International,2026-01-10,ATP250,Outdoor,Hard,Semifinals,3,Medvedev D.,Michelsen A.,3.0,33.0,1963.0,240.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.25,4.0,,,1.29,4.0,1.26,3.77,1.32,4.0
1.0,Brisbane,Brisbane International,2026-01-10,ATP250,Outdoor,Hard,Semifinals,3,Nakashima B.,Kovacevic A.,31.0,53.0,323.0,105.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.36,3.2,1.37,3.38,1.4,3.2,1.36,3.04,1.4,3.4
2.0,Hong Kong,Hong Kong Tennis Open,2026-01-11,ATP250,Outdoor,Hard,The Final,3,Bublik A.,Musetti L.,18.0,21.0,658.0,513.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.8,2.0,1.86,2.05,1.87,2.05,1.8,1.98,1.93,2.06
4.0,Auckland,ASB Classic,2026-01-11,ATP250,Outdoor,Hard,1st Round,3,Spizzirri E.,Mannarino A.,68.0,40.0,68.0,188.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.62,2.3,1.59,2.5,1.62,2.4,1.57,2.33,1.62,2.58
1.0,Brisbane,Brisbane International,2026-01-11,ATP250,Outdoor,Hard,The Final,3,Medvedev D.,Nakashima B.,3.0,31.0,1963.0,323.0,6.0,2.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.29,3.75,1.29,4.01,1.3,3.75,1.28,3.6,1.31,4.2
