bet_no,Date,P1,P2,pick_side,pick_odds,model_conf,pick_ev,pick_correct,stake_frac,stake_units,pnl_units,bankroll_before,bankroll_after,drawdown_pct
101,2025-06-30,Bautista Agut R.,Norrie C.,P1,1.9525,0.5897665356856466,0.15151916092622497,0,0.03,32.074819451879286,-32.074819451879286,1069.1606483959763,1037.085828944097,14.48638378157116
102,2025-06-30,Garin C.,Rodesch C.,P1,1.6724999999999999,0.6885939761530151,0.15167342511591764,1,0.03,31.112574868322913,20.923206598947154,1037.085828944097,1058.0090355430443,12.761146574364354
103,2025-07-06,Norrie C.,Jarry N.,P1,1.9100000000000001,0.5761866431938059,0.10051648850016925,1,0.02761441991762891,29.216305784131197,26.586838263559393,1058.0090355430443,1084.5958738066038,10.568910772582884
104,2025-07-14,Basilashvili N.,Cazaux A.,P1,2.145,0.5679601244275231,0.218274466897037,0,0.03,32.537876214198114,-32.537876214198114,1084.5958738066038,1052.0579975924056,13.251843449405401
105,2025-07-14,Djere L.,Buse I.,P1,1.3575000000000002,0.7783868289357021,0.05666012028021572,0,0.03,31.561739927772166,-31.561739927772166,1052.0579975924056,1020.4962576646335,15.854288145923235
106,2025-07-15,Vukic A.,Nava E.,P1,1.8425,0.5940399367505697,0.09451858346292463,0,0.028047057407396,28.621917122752755,-28.621917122752755,1020.4962576646335,991.8743405418808,18.214327756880728
107,2025-07-15,Goffin D.,Landaluce M.,P1,2.2925,0.6494711261370846,0.48891255666926636,1,0.03,29.756230216256423,38.459927554511424,991.8743405418808,1030.3342680963922,15.043088315653778
108,2025-07-15,Carballes Baena R.,Taberner C.,P1,1.82,0.6044087650170686,0.10002395233106498,1,0.03,30.910028042891764,25.34622299517125,1030.3342680963922,1055.6804910915635,12.953148288218857
109,2025-07-15,Comesana F.,Trungelliti M.,P1,1.6075,0.6788331449723315,0.09122428054302284,1,0.03,31.670414732746902,19.239776950143742,1055.6804910915635,1074.9202680417072,11.366719415771644
110,2025-07-15,Monteiro T.,Budkov Kjaer N.,P1,1.4775,0.7257623461102395,0.07231386637787884,0,0.03,32.24760804125122,-32.24760804125122,1074.9202680417072,1042.672660000456,14.02571783329849
111,2025-07-16,Basavareddy N.,Mejia N.,P1,1.3375,0.8010236598507563,0.0713691450503865,1,0.03,31.28017980001368,10.557060682504614,1042.672660000456,1053.2297206829608,13.155228226360633
112,2025-07-16,Mannarino A.,Duckworth J.,P1,2.025,0.5998864387599859,0.21477003848897147,0,0.03,31.596891620488822,-31.596891620488822,1053.2297206829608,1021.632829062472,15.76057137956981
113,2025-07-16,Smith C.,Nanda G.,P1,1.4024999999999999,0.7619922989349012,0.0686941992561988,0,0.03,30.64898487187416,-30.64898487187416,1021.632829062472,990.9838441905978,18.287754238182718
114,2025-07-17,Goffin D.,Cerundolo J.M.,P1,2.3249999999999997,0.5608315832126729,0.30393343096946435,0,0.03,29.729515325717934,-29.729515325717934,990.9838441905978,961.2543288648799,20.739121611037234
115,2025-07-17,Passaro F.,Kym J.,P1,1.6724999999999999,0.6408579173463771,0.07183486676181561,0,0.02670441143561919,25.66973109227775,-25.66973109227775,961.2543288648799,935.5845977726021,22.85573671828467
116,2025-07-20,Kopriva V.,Collignon R.,P1,1.84,0.6012977241563708,0.10638781244772244,1,0.03,28.067537933178063,23.576731863869576,935.5845977726021,959.1613296364717,20.911701283585447
117,2025-07-21,Wawrinka S.,Guillen Meza A.,P1,1.5550000000000002,0.7692109863248671,0.1961230837351684,1,0.03,28.77483988909415,15.970036138447258,959.1613296364717,975.131365774919,19.59488110995714
118,2025-07-21,Garin C.,Droguet T.,P1,1.705,0.6888922098587709,0.17456121780920436,0,0.03,29.25394097324757,-29.25394097324757,975.131365774919,945.8774248016714,22.007034676658428
119,2025-07-23,Baez S.,Hanfmann Y.,P1,1.8599999999999999,0.5914896749613952,0.10017079542819496,0,0.029119417275638073,27.54339942440584,-27.54339942440584,945.8774248016714,918.3340253772656,24.278144378473183
120,2025-07-23,Kopriva V.,Droguet T.,P1,1.6875,0.6396153704994314,0.0793509377177905,0,0.02885488644283293,26.498424018850653,-26.498424018850653,918.3340253772656,891.8356013584149,26.46308992367293
121,2025-07-24,Dzumhur D.,Droguet T.,P1,1.9649999999999999,0.5866142557605765,0.15269701256953272,1,0.03,26.755068040752448,25.81864065932611,891.8356013584149,917.654242017741,24.33419637696326
122,2025-07-25,Dzumhur D.,Taberner C.,P1,1.8225,0.5891855799769866,0.0737907195080581,0,0.0224287901240298,20.581874400641563,-20.581874400641563,917.654242017741,897.0723676170994,26.03128880599041
123,2025-07-27,Mpetshi G.,Mochizuki S.,P1,1.4799999999999998,0.7390413254661364,0.09378116168988176,1,0.03,26.912171028512983,12.917842093686225,897.0723676170994,909.9902097107856,24.96613936479667
124,2025-07-27,Bonzi B.,Walton A.,P1,1.935,0.6132448663260592,0.18662881634092465,0,0.03,27.299706291323567,-27.299706291323567,909.9902097107856,882.6905034194621,27.21715518385277
125,2025-07-28,Goffin D.,McDonald M.,P1,2.435,0.5616338560003369,0.36757843936082035,0,0.03,26.48071510258386,-26.48071510258386,882.6905034194621,856.2097883168782,29.400640528337192
126,2025-07-28,Quinn E.,Nishioka Y.,P2,2.0900000000000003,0.5589366376678921,0.16817757272589473,0,0.03,25.686293649506343,-25.686293649506343,856.2097883168782,830.5234946673719,31.51862131248707
127,2025-07-29,Carreno Busta P.,Draxl L.,P1,2.505,0.6034704383432901,0.5116934480499415,1,0.03,24.915704840021156,37.498135784231835,830.5234946673719,868.0216304516038,28.42668706474586
128,2025-07-29,Rinderknech A.,Galarneau A.,P1,1.56,0.6923894247752528,0.08012750264939439,0,0.03,26.04064891354811,-26.04064891354811,868.0216304516038,841.9809815380556,30.573886452803485
129,2025-07-29,Cerundolo F.,Munar J.,P1,1.9075,0.5785792479464895,0.10363991545792872,1,0.028550940897501056,24.039349240712955,21.815709435947007,841.9809815380556,863.7966909740027,28.77505731815248
130,2025-08-01,Mensik J.,Davidovich Fokina A.,P1,1.935,0.5872063898466163,0.13624436435320264,0,0.03,25.913900729220078,-25.913900729220078,863.7966909740027,837.8827902447825,30.911805598607906
131,2025-08-03,Rublev A.,Davidovich Fokina A.,P1,2.135,0.5541777484014512,0.18316949283709816,1,0.03,25.136483707343476,28.529909007834842,837.8827902447825,866.4126992526174,28.55935257924051
132,2025-08-07,Nishioka Y.,Atmane T.,P1,1.715,0.6332435134175899,0.08601262551116673,0,0.03,25.99238097757852,-25.99238097757852,866.4126992526174,840.4203182750389,30.70257200186329
133,2025-08-07,Bergs Z.,Fearnley J.,P1,2.1025,0.5514077167113631,0.159334724385641,1,0.03,25.212609548251166,27.79690202694691,840.4203182750389,868.2172203019858,28.410559570824923
134,2025-08-08,Giron M.,Blockx A.,P1,1.625,0.7468585744147034,0.213645183423893,0,0.03,26.046516609059573,-26.046516609059573,868.2172203019858,842.1707036929262,30.558242783700173
135,2025-08-08,Marozsan F.,Smith C.,P1,1.68,0.642846596703336,0.07998228246160444,1,0.029405250905001592,24.764240846932246,16.839683775913926,842.1707036929262,859.0103874688401,29.16971522362411
136,2025-08-08,Kecmanovic M.,Quinn E.,P1,1.7725,0.6149099123314963,0.08992781960757712,0,0.02910285424193438,24.999654098813227,-24.999654098813227,859.0103874688401,834.0107333700269,31.23107867738569
137,2025-08-08,Bautista Agut R.,Altmaier D.,P1,1.58,0.6795958172848209,0.07376139131001702,1,0.03,25.020322001100805,14.511786760638469,834.0107333700269,848.5225201306653,30.034499446372205
