number,value,state,params_colsample_bytree,params_extra_trees,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_num_leaves,params_path_smooth,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,user_attrs_best_iteration,duration
41,0.6064083833806555,PRUNED,0.6399895468301421,False,0.05781030720905694,255,5,137,4.434860317533531,0.16183961820212184,77,0.8508728772328336,0.08422410384447676,4.823849358854401e-07,0.778381446506965,4,,0 days 00:00:10.422975
42,0.614489272353339,PRUNED,0.5316874852363839,True,0.02852189423087602,127,8,111,0.00018160076936612674,0.40493722292731743,52,0.5092813095275277,8.121609264897861,7.964978443735512e-06,0.6683021390969603,1,,0 days 00:00:03.275268
43,0.6104034535168363,PRUNED,0.5906165330828301,True,0.01421864082294967,127,11,194,0.0004182983171957711,0.28723655658995595,239,1.6836575535165441,3.967038417701772e-08,0.04678276039905237,0.8654337376018222,7,,0 days 00:00:10.677764
44,0.6049427621126766,COMPLETE,0.7195674542851092,False,0.05737941934598472,127,8,78,2.432219152852517,0.15068893708207104,175,1.4952187603525022,2.4688793364578777e-05,0.00014592109199619148,0.6962225537113177,6,72.0,0 days 00:00:09.377999
45,0.609707376824006,PRUNED,0.8970125946351479,True,0.07556443003841126,255,5,189,0.13757523564319377,0.4469462915254788,165,1.5771944224490615,0.0038076305560719886,0.0006326300655566424,0.6674528073285431,1,,0 days 00:00:03.414457
46,0.6065830912430108,COMPLETE,0.5637443311659912,False,0.02756852804206157,255,11,75,1.2772812100441646,0.07495871367438689,198,0.45850279046528297,3.763445359826475e-05,0.149850532999748,0.5553158684776036,6,150.0,0 days 00:00:16.166896
47,0.6219610358946812,PRUNED,0.9736416698059076,True,0.010630853488242867,127,5,183,0.08259599205585766,0.252944339442233,98,1.2229084708692957,2.399731365984095e-07,0.0018882891084244617,0.70042570838182,3,,0 days 00:00:03.779689
48,0.6069667274589011,PRUNED,0.9671835073845074,False,0.07928104578452372,127,5,120,0.10803767560526463,0.056619022920377626,185,1.9696823979246691,2.138536249244663,0.00011417061557128565,0.712065335651193,5,,0 days 00:00:11.033006
49,0.6061902937161455,PRUNED,0.6990843467954717,False,0.029392537566434975,255,4,74,1.0333971107789333,0.17317299718298063,111,0.6939064037924554,0.0006863733717155804,1.8997679109458945,0.5023160115023014,2,,0 days 00:00:09.471761
50,0.6271833101735451,PRUNED,0.8172575269306913,False,0.005382883352850346,127,9,76,0.00013596470070098218,0.012299131488396092,233,0.22871513253927733,0.19034497287078697,3.1042118944279984e-07,0.936249057937667,5,,0 days 00:00:06.722177
